ID,Öncelik,Sprint,Modül,İş / Gereksinim,Detay,Kabul Kriteri / Test,Kaynak,Durum,Agent Notu,Commit SHA,Test Kanıtı,Kullanıcı Doğrulaması
X05,P2,Extra,Medya Temizliği,Social/thumbnail derivative TTL ve GC,Geçici veya yeniden üretilebilir kit dosyaları için lifecycle/TTL; orphan storage şişmesini önle.,Storage lifecycle + GC metrics/log.,Ek optimizasyon,TODO,,,,Bekliyor
X06,P2,Extra,Analitik,Export/download kullanım ölçümü,Hassas payload taşımadan aggregate event ile hangi export'ların kullanıldığını ölç.,Event emitted without sensitive metadata.,Ek öneri,TODO,,,,Bekliyor
X07,P1,Extra,Uzun Formlar,Draft/autosave standardı,"Fotoğraf, ilan, etkinlik gibi uzun formlarda refresh/back/cancel öncesi kullanıcı girdisini koruyan ortak draft yaklaşımı.",Refresh/back restores draft; explicit discard clears.,Ek öneri,IN_PROGRESS,formDraft modulu yazildi ve kayit formunda kullaniliyor; diger uzun formlara yayilacak,,src/lib/formDraft.ts + formDraft.test.ts,Bekliyor
E09,P1,E,Navbar,Menüden 'Public profilim' girişini kaldır,Public profile Hesabım > Profilim sekmesindeki 'Public profili aç' düğmesinden ulaşılıyor; menüde ikinci bir giriş kalabalık yapıyor.,Menüde giriş yok; /hesap?sekme=profilim üzerinden profil açılıyor.,Kullanıcı isteği,TESTED,Menuden kaldirildi; erisim Hesabim > Profilim sekmesindeki dugmeden,07af5a2,vitest: public profil girisi menude yok,Bekliyor
E10,P1,E,Public Profil,Kapak görseli (banner) yükleme,"Kullanıcı profiline geniş bir kapak görseli yükleyebilmeli; referans tasarımda kapak, üstüne binen yuvarlak avatarla birlikte kimlik alanını oluşturuyor.","Kapak yükleniyor, public profilde görünüyor, 390/1440'ta bozulmuyor.",Kullanıcı isteği,TESTED,"banner_path kolonu, avatars kovasinda banner- oneki, 1500x500 (3:1)",e3f2c48,vitest domain/profile; npm run test:all,Bekliyor
E11,P1,E,Public Profil,Kapak ve avatar için ortak kadraj editörü,"Yükleme sırasında FOV/zoom, sağa-sola kaydırma ve kırpma; kare avatar ve geniş kapak aynı editörü farklı en-boy oranıyla kullanmalı.","Fare, dokunmatik ve klavyeyle kadraj ayarlanabiliyor; kaydedilen dosya seçilen alanı taşıyor.",Kullanıcı isteği,TESTED,Yer olmayan eksen kilitleniyor ve sebebi yaziliyor; olu kaydirici bozuk kaydiricidir,65be33d,vitest kadraj.test.ts: kadraj boslugu (3 senaryo),Bekliyor
E12,P1,E,Public Profil,Kapak ve avatar silinebilmeli,Yüklenen görsel geri alınabilmeli; silinen dosya depolamadan da kalkmalı.,Sil düğmesi hem kaydı hem depolamadaki dosyayı temizliyor.,Kullanıcı isteği,TESTED,"Avatar ve kapak icin ayni silme yolu; kayit once, dosya sonra",e3f2c48,profilGorseliSil tek yol,Bekliyor
A15,P0,A,Galeri,İndir düğmesi doğrudan en yüksek kaliteli JPEG vermeli,Galeri/fotoğraf detayında İndir düğmesi dosya indirmek yerine tam ekran görüntü açıyor ve o görünümden geri dönülemiyor.,Düğme dosyayı indiriyor; tam ekran açılmıyor; açılan her tam ekran görünümünden çıkış var.,Kullanıcı isteği,TESTED,download niteligi capraz kaynakta yok sayiliyordu; dosya fetch+blob ile aliniyor ve adi kayittan tureniyor,95b5782,vitest indirmeAdi.test.ts (5 senaryo),Bekliyor
A16,P0,A,Moderasyon,Kaldırılan içeriği geri getirme düğmesi görünmüyor,Şikâyet sonrası içerik kaldırıldığında yönetim kaydında 'Yayına geri al' düğmesi çizilmiyor.,Kaldırılmış içerik taşıyan her kayıtta geri alma düğmesi görünüyor ve içeriği yayına döndürüyor.,Kullanıcı isteği,TESTED,"Serit iki yone de calisiyor: icerik yayindaysa kaldirma, kaldirilmissa geri alma; kuyruk-icerik uyusmazligi da yaziliyor",95b5782,,Bekliyor
A17,P0,A,Alan Çözümü,Etiketler fotoğrafın dışına taşmamalı,"Açıklama katmanı dış kutuyu kaplıyor, görsel object-contain ile ortalanıyordu; yüzdeyle yerleştirilen etiketler siyah banda düşüyordu. Ayrıca kadraj içi testi sabit %6 pay veriyordu.",Kadraj dışında hiçbir etiket çizilmiyor; pay yalnızca cismin açısal boyutundan geliyor.,Kullanıcı isteği,TESTED,Katman gorselin kutusunda; pay cismin acisal boyutundan; kenardaki etiket ice donuyor,136f0fc,vitest plateProjection.test.ts: kadrajIcinde (4 senaryo),Bekliyor
A18,P1,A,Hesap,Şehir seçimi zorunlu olmalı,Kayıt sonrası kurulum kapısı şehri istiyordu ama profil satırı doğrudan da güncellenebiliyor; şehri sonradan boşaltmak mümkündü. Şehri olmayan mevcut hesaplara bildirim gidecek.,Şehir boşaltılamıyor; formda zorunlu işaretli; şehirsiz hesaplara bildirim düştü.,Kullanıcı isteği,TESTED,DB tetikleyicisi + istemci dogrulamasi + 5 kullaniciya bildirim,bfe779b,vitest profile.test.ts: sehirsiz profili reddediyor; canli: 5 bildirim,Bekliyor
A19,P1,A,Performans,profile.ts hesap yonetimi yolunu paylasilan pakete sokuyor,"hesap-sil, veri disa aktarma, sifre degistirme ve profil dogrulama ilk rota paketinde; bunlari yalnizca /hesap sayfasi kullaniyor. Ilk rota JS butcesi 200/200 kB'de duruyor.",Hesap yonetimi ayri modulde; ilk rota JS butcesinde en az 5 kB bosluk kaliyor.,Kullanıcı isteği,TESTED,"ProfileSetupGate tembel yuklendi: 200.0 -> 198.2 kB (1.8 kB). Il tablosu giris chunk'inda KALDI: LocationProvider main.tsx'te kokte ve cities.ts'ye gercekten ihtiyaci var. Hedef katalogu da orada, yolu komut paleti (features/search).",ec71e2b,npm run check:budgets: 198.2/200,Bekliyor
